Name,lat,long,Filename
Sedona Arts Center,34.872447,-111.757592,12x120.jpg
Sedona Arts Center,34.872447,-111.757592,SAC20.png
Sedona Arts Center,34.872447,-111.757592,SAC-center.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-education.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-shopping.jpg
Arcosanti/The Cosanti Foundation,34.342857,-112.100724,
Sedona Performing Arts Center,34.863117,-111.76703,
Hillside Sedona,34.860033,-111.761576,
Lanning Gallery,34.861697,-111.761078,
Mountain Trails Galleries,34.862381,-111.762934,
Sedona Arts Center,34.872447,-111.757592,12x120.jpg
Sedona Arts Center,34.872447,-111.757592,SAC20.png
Sedona Arts Center,34.872447,-111.757592,SAC-center.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-education.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-shopping.jpg
Tlaquepaque Arts & Crafts Village,34.862246,-111.76365,https://www.youtube.com/watch?v=D9D-KgmQNo0?rel=0
Tlaquepaque Arts & Crafts Village,34.862246,-111.76365,tlaq0.jpg
Tlaquepaque Arts & Crafts Village,34.862246,-111.76365,TlaqMexican200x1400.jpg
Esteban's,34.862268,-111.763309,
James Ratliff Gallery,34.860042,-111.761758,
Exposures International Gallery of Fine Art,34.860677,-111.761351,
Kuivato Glass Gallery,34.862381,-111.762805,
Goldenstein Gallery,34.862451,-111.815021,goldenstein0.png
Goldenstein Gallery,34.862451,-111.815021,https://www.youtube.com/watch?v=DDJ4h8xBlbI?rel=0
Arcosanti/The Cosanti Foundation,34.342857,-112.100724,
Gallery of Modern Masters,34.860033,-111.761823,
Honshin Fine Art Gallery of Wholeness,34.862343,-111.763221,
Renee Taylor Gallery,34.862229,-111.763457,
Village Gallery of Local Artists,34.780345,-111.763533,
Rowe Fine Art Gallery,34.862678,-111.76218,
Honshin Fine Art Gallery of the Ascending Spirit,34.862196,-111.763142,
Greg Lawson Galleries,34.86266,-111.806758,
ALT Gallery,34.860002,-111.761565,
Soderberg Bronze,34.86353,-111.784043,
The Melting Point,34.862955,-111.785671,
Carre D'Artistes,34.862223,-111.763171,
Love Africa Decor & Gallery,34.865468,-111.763879,Master.RS.10-800x600.jpg
Celeste,34.870263,-111.7924,celeste-800x600.jpg
Celeste,34.870263,-111.7924,celeste-800x6000.jpg
Soderberg Bronze,34.86353,-111.784043,
Sedona Arts Center,34.872447,-111.757592,12x120.jpg
Sedona Arts Center,34.872447,-111.757592,SAC20.png
Sedona Arts Center,34.872447,-111.757592,SAC-center.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-education.jpg
Sedona Arts Center,34.872447,-111.757592,SAC-shopping.jpg
University of Sedona and University of Metaphysics,34.86278,-111.79646,UnivSedonaPhotoListing0.jpg
The Melting Point,34.862955,-111.785671,
Chamber Music Sedona,34.862731,-111.78565,Sedona-Chamber-Music.jpg
Chamber Music Sedona,34.862731,-111.78565,Sedona-Chamber-Music-Jazzfest0.jpg
Mary D Fisher Theatre,34.864382,-111.795835,Mary-D-Fisher-800x600.jpg
Healing Piano of Sedona,34.829833,-111.775806,Louis-Landon-piano-2.JPG
